,id,text
0,1505427243048308737,"RT @McFaul: Putin will lose his unprovoked, senseless, inhumane war in Ukraine. The only unknowns are when and at what cost. The West must…"
1,1505427243031486464,Guerre en Ukraine/ Pétrole : l'Inde se tourne vers la Russie qui lui vend le baril à 25 dollars ! https://t.co/DT9gwv2o50
2,1505427242779824131,"RT @ICTV_Fakty: 😁 ""Finally, America has a president who is loved by everyone and has an overwhelming rating of support. He is the president…"
3,1505427241802604547,"RT @BombshellDAILY: RUSSIA ADMITS TO USING HYPERSONIC MISSILES
""Russia's costs will be so high that you will not be able to rise again for…"
4,1505427241672806400,"RT @MarginalS4th: Weirder still is that two of the biggest names in the Soviet space programme, Sergei Korolev and Valentin Glushko were fr…"
5,1505427241559285761,RT @PressSec: .@TomCottonAR had a chance last week to back his words with actions by voting for the security assistance for Ukraine that th…
6,1505427241399984130,Prague stands with Ukraine: https://t.co/Wzujq5z5aa
7,1505427241332789248,RT @AvivEzra: I am so proud that the state of #Israel  is the first country (and the only one as far as we Know) to deploy a field hospital…
8,1505427241311690756,"RT @carterforva: You can also get 5 years in prison in Ukraine for saying the phrase ""OUN collaborated with the Nazis and conducted genocid…"
9,1505427241009913859,RT @mazemoore: 2019. Trump on Ukraine and the Bidens. https://t.co/SuaFC3Ytme
10,1505427240313569283,"RT @Louis_Allday: The propaganda campaign on Syria taught me that Western media isn’t simply biased, but knowingly &amp; systematically creates…"
11,1505427240309374978,"RT @BenjaminNorton: 6 years ago, the US Congress removed a ban on funding neo-Nazis so Washington could send weapons and money to Ukraine's…"
12,1505427239504068608,RT @jan_holze: DasBundesfinanzministerium @BMF_Bund hat anlässlich des Engagements vieler #gemeinnütziger #Vereine für #Geflüchtete aus der…
13,1505427239424303109,@daniil_donetsk @terrorworlds Glory to Ukraine!
14,1505427239403503620,"Ukraine’s President Volodymyr Zelenskyy slams Russia’s siege of Mariupol as a “war crime” as Russian forces push deeper into the port city.
The British Ministry of Defence says Russia has failed to gain control of Ukraine’s airspace. https://t.co/qRp6JAgTt6"
15,1505427239147556865,"RT @DSoguel: ""Your banks are where the money of the people who unleashed this war lies,"" Ukraine's President Volodymyr Zelensky told Swiss…"
16,1505427238740762626,@TimRunsHisMouth @littlebrowndog0 Biden succeeded in turning Ukraine into a winter of death
17,1505427238711291908,@spdustin @OccupyDemocrats Looks like NATO agreed to the terms. https://t.co/UHD3aMhUdd
18,1505427238581374981,"RT @Segozavr: ""L'Ukraine a toujours aspiré à être libre.""
 Voltaire. Histoire de Charles XII. 1731"
19,1505427238015094786,RT @EverProactive: @KyivIndependent . @Apple @Google Reports are that Russian soldiers are forcing Ukrainian refugees to delete photos and…
20,1505427237130100737,"RT @IAPonomarenko: Good morning, we’re from Ukraine 🇺🇦 https://t.co/dXtsBjz0HI"
21,1505427237117509634,RT @YacovLivne: The #Israeli Field hospital in #Ukraine is installed today after equipment was transferred via #Poland. Proud of my colleag…
22,1505427237096542208,RT @nexta_tv: At least 847 civilians have been killed in #Ukraine since the beginning of the war. The #UN stresses that the real figures ar…
23,1505427237025181696,"RT @timkmak: Good morning from Ukraine. 

Kyiv remains in Ukrainian hands. 

Putin held a stadium rally last night; while Zelenskyy gave a…"
24,1505427236761088001,"RT @UAWeapons: #Ukraine: A loaded BM-21 ""Grad"" pattern MRL and a supply truck of the Russian Army were destroyed in the vicinity of #Kharki…"
25,1505427236387655681,"RT @weimers: ”Ukraine has always aspired to be free”

Voltaire, History of Charles XII, King of Sweden (1731)"
26,1505427236383432705,"RT @ClintEhrlich: Question for Congressman @AdamKinzinger:

You want NATO to bomb Russian ground forces in Ukraine. 

Russia will retaliate…"
27,1505427236329226243,Never thought i would see nazism in the 21 century . #ukraine https://t.co/eNEImmOd5o
28,1505427235209105417,"RT @bofvideo: Call me a triggered woke snowflake, but apart from the litany of other reasons,  I don't think someone who compares people be…"
29,1505427235028692992,"RT @TimothyDSnyder: Ukrainian celebrities are dying at the front. American celebrities, please use your platforms to make it clear that Rus…"
