,id,text
0,1505367059345072131,"@XTexchange @Ukraine_DAO Read The Cult DAO Manifesto 

@wearecultdao"
1,1505367059068293124,"RT @KyivIndependent: ⚡️Prosecutor General: Russian prisoners treated in accordance with Geneva Convention.

Prosecutor General Venediktova…"
2,1505367058858471425,"RT @v0g3lSec: Hacked , Defaced &gt; www.каллокаин.рф

have fun xD

#Anonymous #russia #ukraine
@PucksReturn @LiteMods @YourPolandAnon https://…"
3,1505367058837487618,"RT @SteveRustad1: Trump was tough on Russia???

Like hell he was.

Putin bought him.

Putin paid for him.

Putin fucking OWNED him.

Treaso…"
4,1505367058799738880,"RT @BowmanNancy: @JonesyDude87 @Suzy2313922857 Republicans trying to divert attention from their multiple failures around Ukraine.
https://…"
5,1505367058770538497,"RT @OccupyDemocrats: BREAKING NEWS: In a major loss for Putin, NATO announces that it is sending an air defense system to Ukraine in order…"
6,1505367058078638083,"RT @timjudah1: I know it is Shabbat but Rabbi Moshe  Reuven Azman just welcomed more than 300 refugees, Jews &amp; non-Jews to his synagogue in…"
7,1505367057696792585,"RT @AmichaiStein1: The Ukrainian officials added: The sides are actually still far away from reaching a deal, and Ukraine position remains…"
8,1505367057625346052,RT @PopularFront_: #Ukraine: Footage reportedly showing the first video evidence of a Russian TOS-1 thermobaric MLRS being fired in Ukraine…
9,1505367057457627142,"@tanita_tikaram So everything he's done for Ukraine so far, i.e. giving them financial aid, offering a refugee housing scheme, providing them with weapons to defend themselves, becomes completely useless because he made a comparison which upset you. Fragile snow flake."
10,1505367056740278273,"RT @SteelAndSunMan: Ukraine’s GDP is about 155 Billion Dollars

Zelensky has over a billion dollars in offshore accounts, according to the…"
11,1505367056014839808,"@KyivIndependent Russia is at the point where even if Poland went in alone to help Ukraine they (Russia) would be done with. 

Otherwise if NATO declares war on Russia I’m pretty sure the majority of Russian military would call it quits."
12,1505367055662465028,"RT @IanDunt: On the night Putin invaded Ukraine, Johnson was at a Tory fundraiser attended by Lubov Chernukhin, the wife of a former Russia…"
13,1505367055431655425,"Add this to the war crimes tally (if true)

https://t.co/qa0I7ybbVH"
14,1505367055117082624,RT @CNN: “This will be one of the images that defines Vladimir Putin’s war.” - An image from Ukraine shows a mother shielding her daughter…
15,1505367055062642693,@AdamKinzinger When you going to Ukraine instead of crying all day?
16,1505367054089523202,LA! We are hosting a fundraiser @TheAbbeyWeHo on Thursday March 24! All proceeds will go to the shipment of humanitarian aid! Come &amp; support https://t.co/xtSQguUb6s https://t.co/5TxbbVnVxn
17,1505367053867257858,"RT @AdeldMeyer: Stand with Ukraine?
You couldn't even stand with your own family, friends and neighbors the past two years. 🙄"
18,1505367053816975363,"RT @mrsorokaa: Those who argue that Ukraine should give up its desire to join NATO don’t  understand Ukraine. At all.

It’s not about NATO,…"
19,1505367053674426371,RT @franakviacorka: Heroes! Belarusian railway workers disrupted the railway connection with Ukraine so that trains with Russian equipment…
20,1505367053397635080,RT @TheOtherView2: Putin didn’t invade Ukraine under Trump because he and Trump had agreed that in his 2nd term Trump was going to pull the…
21,1505367053275840517,"RT @JimMurp77852985: I guess being called racist, misogynist and extremist wasn't enough, now the Toronto Star in its push for Trudeaumania…"
22,1505367053171003397,"Text from #Ukraine today asks the question: why is it worse if the Russians kill us all with 1 bomb instead of 100,000? 🥵 Then how about 100,001? Reminds me of a very bad Plato Paradox. Actually Sorites if you are keeping score."
23,1505367052831186945,"RT @SamRamani2: Over the past 3 weeks, Germany has dragged its feet on arms exports to Ukraine and paid Russia 4 billion euros for gas"
24,1505367052722356227,RT @caitoz: The US has staged MULTIPLE coups in Ukraine to control that nation's affairs but empire apologists act like you're the most evi…
25,1505367052202086402,"RT @CatEyezGreen_: WOW! Fifth Russian General killed by defending Ukraine forces since war began
Lt General Mordvichev was one of Putin’s m…"
26,1505367051900178432,RT @cov_Gretchen: The collusion to hide and lie about Hunter’s activities is a bigger story than Russia and Ukraine. This is historic corru…
27,1505367051883499520,@jimsciutto Big deal.  Ukraine doesn’t have anti missile defense.  It only means that Russia is running out of ammunition and/or testing new equipment.  It’s still a humanitarian disaster that needs the worlds help.
28,1505367051850100736,"RT @DrGJackBrown: @SenTedCruz FACT: We could have prevented Putin from invading Ukraine if the Vast majority of Republican Senators, Congre…"
29,1505367051770073090,RT @joncoopertweets: I wonder if any of the five Russian generals — and other top military officers — that have been “eliminated” in Ukrain…
30,1505367051749281792,"RT @Kateryna_Kruk: Motherhood.
Ukraine, Europe, 2022 https://t.co/LGyG6pIbBM"
31,1505367051610644482,RT @TheDemocrats: Over two dozen Republican senators are demanding President Biden do more for Ukraine after they voted AGAINST $13.6 billi…
32,1505367051543584775,RT @hitimeswebsite: Ukraine claims in the midst of war – 228 people have died in Kyiv so far in Russian attack https://t.co/1uCHsCLl1t
33,1505367051497472002,RT @davidfrum: Ukraine may be the first example in human history of a country that under the pressure of war is becoming *more* tolerant an…
34,1505367051153645572,RT @IamFayeAmanda: An insightful article by @Forbes - How Russia’s #Invasion Of #Ukraine Is Adversely Impacting India’s #Economy - https://…
35,1505367050973196292,"RT @RussianEmbassy: Since 2014, 🇺🇦Forces have been conducting warfare in #Donbass. For almost 8 years, #Ukraine's authorities and represent…"
36,1505367050432167946,"RT @ThaisConexao: A Baker Hughes,de propriedade da General Electric, uma das maiores empresas de serviços de campos petrolíferos do mundo,…"
37,1505367050394480640,"RT @dancohen3000: @MintPressNews @PLnewstoday After slaughtering 25+ civilians in broad daylight, Ukraine's Foreign Ministry posts photos o…"
38,1505367049282809860,RT @MeetKarma45: SHOCKING: Russian Forces open fire on peaceful citizens of Ukraine 🤬 https://t.co/ru0JOOWj7G
39,1505367049169780737,RT @NASAWatch: Elon Musk's satellites help Zelensky dominate the skies: US billionaire's internet system is allowing Ukrainian drones to po…
40,1505367049060511744,"RT @TheNationalBul1: India expressed concern over the death of civilians in #Ukraine  

#UkraineRussiaWar #RussianUkrainianWar #Russia #Ukr…"
41,1505367049056358400,"As bad as the lying turds on the Left are, this RWNJ / POS/ Putinista really makes the case for inventing the possibility of 'retrospective abortions'... https://t.co/1945TpcAWR"
42,1505367048788000770,"RT @MiddleEastEye: ""As the global attention shifts to other high-profile crises such as Ukraine, the world must not abandon the long-suffer…"
43,1505367048704049153,RT @BillClinton: America stands united with the people of Ukraine in their fight for freedom and against oppression. https://t.co/O7INc9S1tq
44,1505367048414711819,"RT @Kateryna_Kruk: Motherhood.
Ukraine, Europe, 2022 https://t.co/LGyG6pIbBM"
45,1505367048335106048,"RT @visegrad24: Children at a Spanish kindergarten welcome a refugee boy from Ukraine.

🇪🇸🇺🇦 https://t.co/qAiPWIZAYP"
46,1505367048251224070,RT @jenresisted: @GOPChairwoman Not extorting Ukraine or collaborating with Putin. https://t.co/BSaUfj6ndd
47,1505367048251133955,RT @InnaSovsun: #Mariupol city council informed that thousand of #Ukraine citizens from the captured parts of Mariupol have been forcibly i…
48,1505367048003760133,"@seanzjay @PedderSophie @DPJHodges These are your words. They are bogus because there have been diplomatic efforts by the nations you mention running for 8 years, ended when Putin announced the Minsk II Agreement void on Feb 22nd and sent 100,000 troops into Ukraine on Feb 24th. https://t.co/MRbAMD5M8i"
49,1505367047890423809,RT @thebradfordfile: The President of the United States has a crack smoking son who was laundering him cash from Ukraine while VP. And the…
50,1505367047835983874,@CBSNews Go Ukraine!
51,1505367047831707652,RT @JerryGual: Ethiopia &amp; Eritrea are planning for another round of full scale war on Tigray while the intl community focuses on Russia-Ukr…
52,1505367047521423364,"RT @AdrianBonenber1: takeaways from this well-reported piece: 
-Ukraine’s military is disciplined; they are executing a countrywide defensi…"
53,1505367047399747586,RT @MaximeBernier: Conservatives are even more irresponsible and reckless than Liberals in Ukraine.
54,1505367047399567363,"RT @strategywoman: 11:33 pm in #Ukraine 

‘This’ life is full of surprises. We cannot read books. We cannot watch movies. For sure, there’r…"
55,1505367047340847104,"RT @EuromaidanPress: Back in 2018, a #Ukrainian commentator proposed to create an International Day in Memory of Victims of #RussianWarCrim…"
56,1505367046896304128,@tomasbrolin @UnholyRom3 You are way over the top with your description of what is happening in Ukraine. Where were you when the west ( Nato &amp; USA) attacked Libya then moved on to several other countries.
57,1505367046867070976,"RT @RevengOfTheFlex: Few know that Ukraine dammed the water of the ""Pro-Russian &amp; Russian-identifying"" Crimeans. This costed Russia Billion…"
58,1505367046854430720,"RT @visegrad24: Putin says he invaded Ukraine to start a “denazification” process of the country?

If he hates Nazis, why did he appoint Dm…"
59,1505367046216986630,"RT @InfoGeek17: In the Krasnodar dormitory, students hung a Z-symbol on the door of their room, but the commandant's grandmother did not ap…"
60,1505367045977870338,RT @PucksReturn: #Anonymous #Belarus you have been warned for allowing #Russia to use your country’s territory to invade Ukraine and host R…
61,1505367045570916355,"RT @nytimes: The war turned ordinary Ukrainians into soldiers and aid workers. The photographer Alexander Chekmenev captured fortitude, des…"
62,1505367045390897152,"RT @TSererak: จุดเทียนสันติภาพ #NoWar
#makelovenotwar #Ukraine https://t.co/oXHnlBVw9v"
63,1505367045357064194,"RT @BillyBaldwin: Russia aided in the election of Trump.
Trump has continuously sucked up to Putin.
Trump withheld military aid to Ukraine.…"
64,1505367045197602824,RT @fravel: Speech by PRC Vice Foreign Minister Le Yucheng on China’s position on the Russian invasion of Ukraine https://t.co/Ytat7ZJy6o
65,1505367045172609026,"RT @historyoarmani2: let’s be real, Zelenskyy hasn’t been in Ukraine since late February"
66,1505367045164126211,RT @MeetKarma45: SHOCKING: Russian Forces open fire on peaceful citizens of Ukraine 🤬 https://t.co/ru0JOOWj7G
67,1505367045147435010,RT @Reuters: Ukraine's Zelenskiy says it is time for meaningful security talks with Moscow https://t.co/ack5uPFUio https://t.co/hauCVGp9OX
68,1505367044962742273,"RT @OccupyDemocrats: BREAKING NEWS: In a major loss for Putin, NATO announces that it is sending an air defense system to Ukraine in order…"
69,1505367044912558080,"RT @DenbrotS: Marie Yovanovitch says Giuliani was Trump's 'personal dirt-digger'..
Corrupt Ukrainians &amp;he spread 'lies &amp;half-truths' in the…"
70,1505367044212109313,RT @OnlinePalEng: Kuwait's National Assembly Speaker Marzouq Al-Ghanim has called on the President of Inter-parliamentary Union to expel Is…
71,1505367043859697675,"RT @canmathsociety: In Memoriam: Yulia Zdanovskaya, a 21-year old mathematician, was killed on March 8th, 2022 during a Russian forces atta…"
72,1505367043473780736,RT @AdamCrigler: Focus on Ukraine tho yeah? https://t.co/SM9vPcMhIq
73,1505367042878328839,RT @thisisinsider: Marie Yovanovitch says Rudy Giuliani was Trump's 'personal dirt-digger' and corrupt Ukrainians used him to spread 'lies…
74,1505367042819608580,Russia-Ukraine Crisis: An Indian Perspective – Eurasia Review - Eurasia Review Russia-Ukraine Crisis: An Indian Perspective – Eurasia Review  Eurasia Review https://t.co/5HRTG4oCJn
75,1505367042467246087,"RT @Stefan_K__: Wow! Die #Putinknechte der #AfD #Bayern sehen die #Solidarisierung mit der #Ukraine durch #Flagge zeigen als ""Selbsterniedr…"
76,1505367042198843397,RT @tedlieu: Turkey has not deployed its S-400 missile defense system. It’s just sitting there untouched. Why? Because of U.S. sanctions. T…
77,1505367042135834629,"RT @JuliaDavisNews: To corroborate their boasting about Russia's ""great successes"" in Ukraine, shortly after Korotchenko's performance⤵️, s…"
78,1505367041846378497,"@Gage3000 @cdoyle714 @edolis @PeterSchiff Yanukovich was Russia’s puppet just as you are now saying the US has a puppet. If you are correct, then nobody has learned anything from history, because just as Russia &amp; the US should have left Afghanistan alone way back when both should leave Ukraine alone now."
79,1505367041712218118,"RT @TaskandPurpose: US sending suicide drones, grenade launchers, and thousands of anti-tank weapons to Ukraine https://t.co/j98dZmsbE9"
80,1505367041632772096,"@Lspiros12 @DA_GR0 @Reuters Russian treatises regarding a potential Ukraine invasion written from 2017-2021 all estimated Kyiv would fall in 2-4 days based on a Russian mobile offensive with forward paratroops securing air supply routes.

They are public if you can read Russian or translate it."
81,1505367041259163649,@DianaPlant5 Join the fight against tyranny. Donate to Ukraine using this link https://t.co/QnzF1LN61k
82,1505367040613404675,"RT @spriter99880: Kyiv in a panic: ""Belarusian troops are preparing to strike"" and the Russian army is accumulating near the border of Bela…"
83,1505367040357453825,"RT @RemiGration2022: Les Ukro-Nazis, alliés du rabbin #BHL à l'œuvre en Ukraine, laissant ce malheureux crever de faim et de froid !
https:…"
84,1505367040290275330,#Israel #Ukraine https://t.co/TYWDj6UI3B
85,1505367039795347458,"RT @mrsorokaa: Those who argue that Ukraine should give up its desire to join NATO don’t  understand Ukraine. At all.

It’s not about NATO,…"
86,1505367039250243599,"RT @TheRickWilson: QED my WaPo piece of the GOP blame game over Ukraine. 

The secret is it really can be this stupid because Ted’s audienc…"
87,1505367039220719619,"RT @OccupyDemocrats: BREAKING NEWS: In a major loss for Putin, NATO announces that it is sending an air defense system to Ukraine in order…"
88,1505367039166189573,RT @republic: Russia forcing untrained men in Donbas to fight in war hotspots in Ukraine: Report https://t.co/6CzVxw4Ibl
89,1505367039145172993,"RT @maetubtimgrob: @FaulksG1 @Thai_Talk @Ukraine @ZelenskyyUa The articles are not on Twitter, but they’re still available here:"
90,1505367039061413889,"RT @GlobalFreedomM: •COVID was to push the vaxx
•Vaxx was to prep you for Digital ID
•Digital ID is the end of cash
•End of cash means you…"
91,1505367038910365697,"RT @OccupyDemocrats: BREAKING NEWS: In a major loss for Putin, NATO announces that it is sending an air defense system to Ukraine in order…"
92,1505367038742564867,"RT @OccupyDemocrats: BREAKING NEWS: In a major loss for Putin, NATO announces that it is sending an air defense system to Ukraine in order…"
93,1505367038692245508,"@AC360 @AymanM WE NEED YOUR HELP!

24 hr news stuck on Ukraine fight for Democracy while it's DYING RIGHT HERE.

Any SDNY investigation into 2 prosecutors?

Anything with 1/6 Committee?

Fox shows some Ukraine; rest trashing Dems"
94,1505367038587547653,"RT @RWPUSA: Here we go, again.
Forced relocation of civilians just as the Germans and the Soviets did during WW2.

Mariupol residents force…"
95,1505367038457532418,バハマのロシア資産は約30億ドル、国内行は制裁対象と取引禁止(reuters)https://t.co/UMIm6kJHi7
96,1505367038398717958,"RT @visegrad24: Belarusian railway workers today sabotaged the railway lines leading to Ukraine, making it impossible for the Russians to r…"
97,1505367038222639110,"RT @DrAlakbarov: Good article in French about Ukraine:

https://t.co/YwBnsjfzBd"
98,1505367038033768451,"RT @OccupyDemocrats: BREAKING NEWS: In a major loss for Putin, NATO announces that it is sending an air defense system to Ukraine in order…"
99,1505367037853413377,"RT @Geopol2030: USA has been around for 246 years. Of those, the US has been at war for 225 years! But somehow, entire America is outraged…"
