,id,text
0,1505470767747801090,"RT @KyivIndependent: ⚡️Finance minister: Ukraine's economy down by third. 

About 30% of Ukraine’s economy “stopped functioning” since the…"
1,1505470766996930561,"@tlnue @Tondern2 Die Krim war russisch, bis die UDSSR sie an die Ukraine verschenkte und das ist noch nicht 99 Jahre her.
Also keine zugewanderte Bevölkerung.

Spielt die ethnische Zugehörigkeit eine Rolle?

Würden die Regierungen wegen Gebieten um die Bevölkerung buhlen?

Wer ist der Souverän?"
2,1505470766967627778,"RT @JohnTwelvetrees: Since Russia invaded Ukraine both Carrie Johnson, who co- founded Conservative Friends of Russia, and Dominic Cummings…"
3,1505470766896365568,RT @Youblacksoul: Look at the face of this young boy. What he have done? Refuse to kill or die? Was caught stealing food? Was just wanderin…
4,1505470766892023810,RT @SenatorHagerty: This historic inflation is a direct result of President Biden and Democrats’ big-government spending and policies—not P…
5,1505470766581702657,"RT @MareOM_ONG: Our #presale is OPEN for everyone ! 

Max buy 10 #EGLD  / wallet !

Our official website is 

https://t.co/EyBQhz2mNo

STAY…"
6,1505470766481133569,"RT @olya_rudenko: Many Russians (70%, according to non-government surveys) support the war against Ukraine. 

Invading Ukraine takes many t…"
7,1505470766422409219,"RT @R_A_Ziemkiewicz: „Gdy wielki wielkiego / dusić będzie, my duśmy mniejszych - każdy swego”, radził Gerwazy. Rosja próbuje podbić Ukrainę…"
8,1505470766355300353,"Les agro-industriels de la FNSEA profitent de la guerre en Ukraine pour tenter de sortir du programme européen ""Farm to fork"" (programme environnemental agricole de l'UE)
https://t.co/ZjyaRL497N"
9,1505470766170656769,"RT @haintz_markus: Wahrheit oder Satire? Der Komiker #Zelensky am am 12.10.2014 im ukrainischen Fernsehen. Über Nazis, #Bandera, Hitler, Ob…"
10,1505470765986205696,"RT @Kateryna_Kruk: Motherhood.
Ukraine, Europe, 2022 https://t.co/LGyG6pIbBM"
11,1505470765914894337,RT @HarryYorke1: EXCLUSIVE: PM attended a secret Tory fundraising dinner attended by at least one donor with Russian links on the night Put…
12,1505470765898117120,"RT @WHO: ""Peace is the only solution – in Ukraine, Yemen, Afghanistan and Ethiopia.""-@DrTedros"
13,1505470765893890049,@strategywoman I planted a cherry tree yesterday in my garden… a young tree.. my hope is that as it blossoms and grows and reaches for the sun  so too will Ukraine blossom and grow again
14,1505470765268975620,"RT @CerfiaFR: 🇫🇷🇺🇦 FLASH | La #France va débloquer 300 millions d'euros afin de venir en aide à l'#Ukraine.

(Min. Affaires étrangères) #Uk…"
15,1505470765197856769,The Support for Ukraine messages can now be found in-game! (via @m4tonoob &amp; @HappyPower) https://t.co/Gm4kyd0esq
16,1505470764992057344,"RT @GhostFaceDrizzy: We. Gave. Ukraine. 13.6. BILLION. In. Aid. … but we have people struggling to pay for gas, rent, mortgage and or find…"
17,1505470764992000003,RT @CalibreObscura: #Ukraine: TDF fighters making a technical from a UAZ Jeep and a captured PKT machine gun. https://t.co/1WCYGsa4GF
18,1505470764866281475,"RT @alexstubb: Putin achieves in three weeks:

1. European Ukraine

2. Isolated Russia

3. United EU

4. Enlarging EU

5. Militarised EU

6…"
19,1505470764794982402,RT @EricMMatheny: “Ten percent for the Big Guy” cannot be ignored. What are Biden’s financial ties to Ukraine? Are his personal dealings wi…
20,1505470764778143747,"⭐ على عكس ما تدعيه وسائل الإعلام الغربية وقناة الجزيرة الموالية للصهيونية ... فإن جنود #المسلمين #الشيشان و #القوات_الروسية يبذلون قصارى جهدهم لإيواء المدنيين في مناطق القتال و من الجيش الأوكراني #جرذان ...

#كذب_وسائل_الإعلام_الغربية 
#UkraineRussiaWar #Ukraine https://t.co/xjWsYfOeeX"
21,1505470764409147392,RT @leedurant: Sunset over St Sophia’s Cathedral #Kyiv as smoke rises over the outskirts of the city. #Ukraine https://t.co/kpyhFc0rY1
22,1505470763989622786,RT @rommari: A lot of you have been asking me how you can help Ukraine financially. This hospital is treating soldiers and their kids. At t…
23,1505470763926757377,"RT @olgatokariuk: Day 25 of Ukraine resistance. As Russian ground offensive is repelled by Ukrainian forces, the bombing of civilians conti…"
24,1505470763503177737,"RT @TimothyDSnyder: Ukrainian celebrities are dying at the front. American celebrities, please use your platforms to make it clear that Rus…"
25,1505470763473776640,"RT @sergiodde: Thread important qui explique pourquoi Poutine devait entrer en guerre contre l'Ukraine, donc contre l'OTAN.
Dr Francis Boyl…"
26,1505470763473768455,"RT @MarinaPurkiss: Someone tell that prick Johnson…

That the only similarity between Putin’s invasion of Ukraine and Brexit 

Is that Puti…"
27,1505470763352178688,"RT @Kateryna_Kruk: Motherhood.
Ukraine, Europe, 2022 https://t.co/LGyG6pIbBM"
28,1505470763209728000,RT @ReutersJapan: ロシア軍、「住民数千人を連行」とマリウポリ市当局 https://t.co/crKtoN3CZc
29,1505470763100356612,"RT @democraticbear: Appears that Putin if following in Stalin's footsteps.

https://t.co/dvn4vAf8pL"
30,1505470763058479111,Guerre en Ukraine : Boris Johnson ne veut plus normaliser les relations avec Poutine https://t.co/ZYa7eLUVBg
31,1505470762962108418,RT @henkdevo: Putin Made a Profound Miscalculation on Ukraine https://t.co/G2YDGK7Hcg
32,1505470762815209485,"RT @KatyJayne101: Donald Tusk was bang on with this summary of Boris Johnson's comparison of Ukraine to Brexit,

""Your words offend Ukraini…"
33,1505470762806919169,"RT @carolecadwalla: Saturday, March 19, 2022. MasterInvestor conference, London.

Jim Mellon, LeaveEU donor, &amp; ex-business partner of Arron…"
34,1505470761967882241,"We can’t be 100% certain what started the war in Ukraine as we can’t trust the media. 
Be wary of any governments, any media sources and any dominant narrative."
35,1505470761871593475,"@MoadabJ Ha non mais de mon point de vue c'était une merde. Mais je suis pas un Ukrainien qui ait vécu sous l'Union Soviétique. C'est pas que je relativise la merde que c'était, c'est que j'arrive à comprendre pourquoi certains en Ukraine l'aiment bien."
36,1505470761670164483,"RT @lesiavasylenko: No, neutrality is not possible. No, #Ukraine cannot make concessions. Nor should it ever be asked to. Instead of fantas…"
37,1505470761334902786,"RT @flagnetwork_NFT: 🕊️The #FlagNetwork Charity Foundation would like to announce an event to support the people of Ukraine

🎁Total budget:…"
38,1505470761305317378,"RT @Tildys: @demvoice1 The Senators who voted AGAINST sending aid to #Ukraine 🔵🟡
See your Senator here? Tell them what you think about this…"
39,1505470761057849344,"RT @Femi_Sorry: Boris Johnson likened those fighting for freedom in Ukraine to Brexit voters because he feeds off outrage.

The better ques…"
40,1505470761024303110,"RT @visegrad24: Belarusian railway workers today sabotaged the railway lines leading to Ukraine, making it impossible for the Russians to r…"
41,1505470760676208642,"RT @HAGnews2: 17 Mar Miles Guo
U.S is under no obligation to support Ukraine, but this time it fully supports it. 
#biden gave weapons &amp; te…"
42,1505470760382771200,Aljazeeraをたまに見るけど、ウクライナ情勢の呼び方が、invationからUkraine-Russia Warになり、今日観たらUkraine Warになっていた。後世では「ウクライナ戦争」って呼ばれるのかな。。
43,1505470760294490114,"@SureshS17353123 What on earth does this have to do with Ukraine?

Its not top trumps"
44,1505470760206450692,RT @POLITICOEurope: OPINION: Europe’s support for Ukraine has come up against the one limit that won’t budge — a limited tolerance for pain…
45,1505470759707328512,"RT @Kateryna_Kruk: Motherhood.
Ukraine, Europe, 2022 https://t.co/LGyG6pIbBM"
46,1505470759694745604,"RT @spudcambs: @carlbildt At least Boris, as UK Prime Minister, is not funding Putin's war on Ukraine, @carlbildt! https://t.co/N9W4Dw7L7q"
47,1505470759275319298,"RT @frediejustine: .. Leo niko Off, nna shughuli Maalum ya kumpokea KAKA hapa MACHAME, hata niskie ikulu ya Ukraine imepigwa Bomu na mute.…"
48,1505470759120027649,RT @EU_Commission: The current Russian aggression against Ukraine reminds the world about the importance of independent and pluralistic med…
49,1505470758960701440,RT @BBCNews: Ukraine war: Boris Johnson sparks fury after comparison to Brexit https://t.co/vDBlH89Xfj
50,1505470758788734982,RT @iainmartin1: Genuinely don't understand the Prime Minister comparing Ukrainian battle for national survival to Brexit. This is an extra…
51,1505470758612574210,@dadimakesmusic You could spread awareness among your fans about the war in Ukraine and maybe donate something to @BackAndAlive? 🥺
52,1505470758587453440,"RT @EuromaidanPress: Several small anti-war protests took place in occupied Crimea amid a conscription campaign, which constitutes a war cr…"
53,1505470758570852353,"RT @IAPonomarenko: “Ukrainian forces have defeated the initial Russian campaign of this war,” @TheStudyofWar writes.
“That campaign aimed t…"
54,1505470758470004736,"RT @f_philippot: Voir Bush (Afghanistan, Irak) et Clinton (Yougoslavie, Kosovo, élargissement de l’OTAN) « déposer des fleurs pour l’Ukrain…"
55,1505470758398660609,RT @RWApodcast: So has anyone mentioned that Zelensky just banned all opposition parties in Ukraine through the National Security and Defen…
56,1505470757916364800,"RT @leloveluck: ""This is insane. Just insane."" @GebeilyM reports on devastating ripple effects from Russian invasion of Ukraine. As wheat p…"
57,1505470757694066690,"|🇷🇺⚔️🇺🇦| The consequences of the Russian attacks on Mariupol.

🇧🇷 - Consequências dos ataques russos em Mauripol.

#UkraineRussianWar #Mariupol #StandWithUkraine #Ukraine #UkraineRussiaWar #Ucraina https://t.co/5VcQ4ka70k"
